equipment_id,equipment_type,manufacturer,age_months,usage_hours_per_day,total_scans_or_uses,days_since_last_maintenance,num_previous_repairs,avg_temperature_c,max_temperature_c,vibration_level_mm_s,voltage_fluctuation_pct,coolant_level_pct,helium_level_pct,tube_current_ma,error_logs_last_30_days,power_supply_stability_score,ambient_humidity_pct,component_wear_index,technician_rating_last_inspection,failure_within_30_days,remaining_useful_life_days
CT-00001,CT Scanner,Canon Medical,24.5,14.37,7976,65.4,2,21.44,27.15,2.171,2.2,95.8,100.0,318.7,1,72.9,53.8,10.95,75.3,0,112.3
XR-00002,X-Ray Machine,Mindray,37.5,11.47,9364,8.1,3,21.56,28.25,2.49,2.05,100.0,100.0,266.4,0,86.1,52.4,8.65,80.3,0,135.1
VT-00003,Ventilator,Siemens Healthineers,79.4,12.8,21486,7.5,5,28.48,37.17,2.743,0.38,100.0,100.0,0.0,4,81.5,40.4,18.33,77.1,0,88.4
VT-00004,Ventilator,GE Healthcare,65.1,19.27,38943,33.9,3,22.91,25.81,1.325,2.91,100.0,100.0,0.0,1,83.0,49.5,16.14,77.1,0,108.2
US-00005,Ultrasound Machine,Siemens Healthineers,17.8,13.62,9051,138.7,0,27.9,37.69,2.091,0.97,100.0,100.0,0.0,1,80.4,53.4,14.51,56.3,0,97.8
XR-00006,X-Ray Machine,Mindray,51.2,10.91,18026,53.5,1,24.54,26.95,2.742,3.26,100.0,100.0,314.3,0,69.0,38.6,14.28,60.4,0,126.7
MRI-00007,MRI Machine,GE Healthcare,17.4,13.83,5425,44.3,1,15.03,21.77,1.806,1.11,85.6,89.1,0.0,0,91.3,46.6,2.93,75.2,0,125.2
CT-00008,CT Scanner,Siemens Healthineers,57.7,15.22,20161,60.4,1,21.82,27.53,1.488,3.29,82.3,100.0,337.3,2,73.2,49.5,10.16,64.9,0,105.3
CT-00009,CT Scanner,Canon Medical,53.9,12.23,17572,101.5,2,28.61,33.23,1.214,0.63,97.8,100.0,368.9,1,95.4,33.9,19.15,60.3,0,73.7
XR-00010,X-Ray Machine,GE Healthcare,59.6,6.11,12092,4.8,3,23.0,32.15,1.201,2.33,100.0,100.0,280.6,1,84.6,58.4,10.49,68.2,0,133.5
CT-00011,CT Scanner,Canon Medical,23.7,11.03,10018,14.7,2,22.23,24.41,2.421,1.24,85.1,100.0,214.1,1,78.3,36.2,0.42,74.9,0,155.3
MRI-00012,MRI Machine,Siemens Healthineers,23.4,7.05,3669,16.2,0,23.19,28.29,1.548,3.05,86.8,93.0,0.0,0,67.9,42.6,9.3,72.9,0,138.9
XR-00013,X-Ray Machine,Canon Medical,53.7,12.07,23831,24.6,0,23.71,28.2,2.892,2.73,100.0,100.0,269.5,2,89.1,47.6,6.26,76.8,0,147.7
MRI-00014,MRI Machine,Mindray,36.4,12.42,15852,8.7,3,17.29,25.69,1.981,1.74,90.5,81.4,0.0,0,69.3,53.6,10.71,70.0,0,117.3
US-00015,Ultrasound Machine,Mindray,68.2,7.28,15228,129.3,4,26.97,30.99,2.538,2.11,100.0,100.0,0.0,3,68.2,44.3,20.6,54.6,1,87.3
VT-00016,Ventilator,Canon Medical,24.9,18.26,10344,241.1,0,27.47,35.19,0.333,2.49,100.0,100.0,0.0,6,91.8,48.7,14.59,86.0,0,68.3
US-00017,Ultrasound Machine,Mindray,56.2,7.64,11454,9.3,2,23.62,32.92,1.522,1.29,100.0,100.0,0.0,2,93.0,53.6,15.84,80.7,0,130.0
CT-00018,CT Scanner,GE Healthcare,113.3,6.15,20319,60.7,6,17.07,27.86,2.161,3.12,89.7,100.0,305.5,2,73.1,43.2,32.17,63.5,0,54.2
VT-00019,Ventilator,GE Healthcare,45.6,18.48,29876,16.0,1,26.25,37.53,1.999,3.54,100.0,100.0,0.0,1,71.8,58.5,8.86,73.5,0,116.5
CT-00020,CT Scanner,GE Healthcare,39.2,17.76,22301,4.3,1,23.61,32.7,2.384,1.47,85.2,100.0,257.2,2,84.7,48.6,9.19,89.3,0,134.4
MRI-00021,MRI Machine,Canon Medical,89.8,11.08,28133,11.7,1,18.48,23.53,1.741,2.85,88.3,87.4,0.0,2,70.4,40.4,28.81,61.5,0,85.5
MRI-00022,MRI Machine,Philips,38.0,12.52,12703,140.8,2,25.79,32.92,2.677,2.3,88.1,93.0,0.0,5,85.7,55.9,17.17,78.1,0,65.6
US-00023,Ultrasound Machine,Siemens Healthineers,12.8,12.27,5713,30.8,0,21.84,25.04,0.1,1.41,100.0,100.0,0.0,2,85.9,29.4,5.11,74.3,0,160.7
US-00024,Ultrasound Machine,Philips,71.4,12.36,34275,63.7,4,28.37,37.92,2.25,4.23,100.0,100.0,0.0,1,72.9,49.5,24.57,49.3,0,109.2
US-00025,Ultrasound Machine,Philips,29.4,12.44,11871,64.0,2,20.97,28.37,2.143,2.61,100.0,100.0,0.0,3,77.3,37.5,6.83,62.7,0,123.1
XR-00026,X-Ray Machine,GE Healthcare,47.0,14.09,16010,44.9,1,22.04,28.52,2.004,0.5,100.0,100.0,297.3,2,72.4,58.4,11.61,87.2,0,94.6
MRI-00027,MRI Machine,Mindray,40.9,7.14,9977,31.6,4,23.46,32.96,1.586,0.22,85.8,83.6,0.0,4,79.9,57.7,9.17,65.7,0,117.2
MRI-00028,MRI Machine,GE Healthcare,14.5,7.09,3420,27.4,2,20.14,22.63,1.253,3.81,89.6,89.1,0.0,1,81.1,39.7,15.26,72.6,0,82.2
XR-00029,X-Ray Machine,Siemens Healthineers,169.7,13.45,64213,29.0,7,22.99,26.36,3.283,0.77,100.0,100.0,306.6,4,88.2,48.2,37.05,41.3,1,57.4
VT-00030,Ventilator,Mindray,48.5,13.98,25185,16.4,3,26.35,34.89,1.476,0.66,100.0,100.0,0.0,1,100.0,49.2,11.26,76.6,0,129.8
VT-00031,Ventilator,Mindray,35.2,22.64,28067,32.3,1,22.62,34.18,1.982,1.88,100.0,100.0,0.0,0,63.2,36.7,0.0,64.7,0,133.7
MRI-00032,MRI Machine,Philips,89.7,7.12,17824,5.5,3,19.94,21.96,2.669,1.21,85.1,87.5,0.0,2,79.8,34.8,25.61,63.9,0,78.0
VT-00033,Ventilator,Canon Medical,106.0,23.03,53405,94.5,2,23.44,34.63,2.478,3.46,100.0,100.0,0.0,1,60.1,55.0,21.92,76.6,0,87.0
MRI-00034,MRI Machine,Mindray,123.6,13.73,61765,30.8,9,19.91,25.08,2.912,3.03,85.6,76.9,0.0,4,81.0,58.5,31.93,59.5,0,56.6
US-00035,Ultrasound Machine,Philips,20.0,4.17,3237,8.5,0,24.75,35.55,1.545,0.8,100.0,100.0,0.0,0,77.4,32.5,7.86,82.8,0,154.4
CT-00036,CT Scanner,Philips,87.4,9.04,25275,161.4,7,23.39,33.35,2.38,1.83,82.7,100.0,312.5,4,92.8,33.4,19.51,40.0,0,31.9
XR-00037,X-Ray Machine,Philips,94.3,16.53,48700,6.7,4,29.51,31.74,3.429,2.51,100.0,100.0,370.1,3,86.8,37.9,21.27,75.9,0,117.2
MRI-00038,MRI Machine,Siemens Healthineers,57.7,7.63,14658,40.4,2,17.82,28.64,1.564,3.29,85.3,82.4,0.0,2,70.4,52.2,6.48,71.1,0,120.0
CT-00039,CT Scanner,Siemens Healthineers,46.0,16.82,29975,62.7,1,24.87,29.91,1.625,0.0,77.9,100.0,266.7,1,85.3,41.9,9.25,84.9,0,110.9
VT-00040,Ventilator,Siemens Healthineers,61.4,20.81,31588,59.2,2,24.21,34.67,1.561,2.78,100.0,100.0,0.0,2,88.7,59.4,23.88,76.1,0,88.2
CT-00041,CT Scanner,Mindray,52.6,12.21,19158,14.8,2,24.02,35.54,2.637,4.24,89.8,100.0,323.6,0,75.8,54.4,16.7,81.6,0,110.7
CT-00042,CT Scanner,Philips,58.0,8.25,18561,35.8,2,25.43,30.85,1.556,3.93,84.8,100.0,389.7,2,78.2,35.0,15.99,69.0,0,94.2
VT-00043,Ventilator,GE Healthcare,81.6,12.13,32065,19.8,6,25.39,30.82,2.318,3.29,100.0,100.0,0.0,1,67.2,48.3,19.06,62.8,0,114.5
US-00044,Ultrasound Machine,Siemens Healthineers,98.9,9.62,32315,71.8,5,24.01,26.93,2.727,2.04,100.0,100.0,0.0,1,71.0,59.4,17.52,57.5,1,88.0
CT-00045,CT Scanner,GE Healthcare,41.4,9.4,12899,72.6,1,17.68,29.21,0.537,2.25,88.3,100.0,341.8,3,76.3,45.0,9.82,84.9,0,107.0
MRI-00046,MRI Machine,Siemens Healthineers,83.7,12.32,27859,14.9,9,18.45,23.34,2.268,2.95,95.4,87.0,0.0,3,70.5,49.6,22.63,83.4,0,59.4
CT-00047,CT Scanner,Siemens Healthineers,15.8,7.85,3537,35.5,2,23.55,33.45,1.668,2.21,86.9,100.0,244.1,1,78.4,39.0,12.53,77.5,0,96.2
CT-00048,CT Scanner,Mindray,47.1,14.73,26748,17.6,2,25.56,31.09,2.313,0.61,83.4,100.0,352.1,2,74.6,42.6,12.99,73.4,0,103.2
MRI-00049,MRI Machine,Philips,25.4,6.01,4402,78.6,0,17.19,27.42,1.653,1.83,83.6,80.2,0.0,2,80.0,57.9,11.11,76.5,0,109.3
US-00050,Ultrasound Machine,Philips,8.0,6.08,1681,9.1,0,22.85,26.6,2.185,2.26,100.0,100.0,0.0,1,76.0,52.0,5.88,80.0,0,128.3
XR-00051,X-Ray Machine,GE Healthcare,21.9,8.63,6458,39.2,2,22.76,25.26,0.993,0.0,100.0,100.0,295.3,2,78.9,46.5,9.72,80.7,0,134.6
US-00052,Ultrasound Machine,Canon Medical,70.1,6.12,15926,58.4,3,23.23,25.82,3.245,4.7,100.0,100.0,0.0,2,67.1,31.8,24.22,62.5,1,92.5
CT-00053,CT Scanner,Siemens Healthineers,31.0,10.29,8207,27.9,0,23.44,34.74,0.167,0.5,77.9,100.0,210.0,0,94.6,44.6,8.63,90.3,0,111.0
MRI-00054,MRI Machine,Philips,73.8,11.77,30827,33.8,5,15.62,18.9,2.457,3.11,94.7,96.1,0.0,2,87.1,45.7,11.56,62.8,0,83.3
MRI-00055,MRI Machine,Philips,108.8,12.59,42431,57.4,3,21.0,26.89,2.884,2.01,85.0,86.3,0.0,4,92.6,41.3,23.17,66.3,1,74.7
VT-00056,Ventilator,Canon Medical,60.5,20.41,44870,19.3,1,24.75,30.06,1.99,4.71,100.0,100.0,0.0,1,72.1,41.1,17.49,44.4,0,100.5
US-00057,Ultrasound Machine,Mindray,22.4,12.78,7936,35.0,1,23.25,35.07,1.089,3.59,100.0,100.0,0.0,1,68.4,53.0,11.21,68.2,0,159.4
CT-00058,CT Scanner,GE Healthcare,60.9,14.28,20830,44.8,2,26.9,34.12,1.054,2.16,92.0,100.0,224.9,0,87.7,47.7,24.36,74.8,0,91.5
VT-00059,Ventilator,Mindray,43.0,16.04,14920,121.6,2,21.8,26.82,1.793,1.91,100.0,100.0,0.0,3,96.5,49.7,14.37,68.3,0,84.3
US-00060,Ultrasound Machine,Philips,81.3,7.11,14099,13.7,8,25.09,32.55,2.284,2.76,100.0,100.0,0.0,4,65.5,45.9,16.71,81.4,0,92.3
CT-00061,CT Scanner,Mindray,106.8,7.89,20825,150.2,5,23.39,26.02,2.042,3.37,87.3,100.0,326.1,7,96.1,55.0,31.42,73.8,0,17.7
